nombre_ruta_semantica,cluster_fisico_id,hotspot_id,latitude,longitude,total_camiones,avg_permanencia_min,avg_conduccion_horas,avg_conduccion_post_horas,opportunity_score,top_3_origenes,top_3_destinos
A Coruña: Cambre/Arteixo - Murcia - Songonera la Seca,0,hs_153,38.1165791,-1.2874639,1,247.1,9.1,0.4,0.547,"A Coruña: Cambre/Arteixo (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Madrid- Leganés - Murcia - Songonera la Seca,0,hs_1,37.97918166649245,-1.1542512174932587,1,116.3,3.7,0.2,0.363,"Madrid- Leganés (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Madrid- Leganés - Murcia - Songonera la Seca,0,hs_132,40.301112,-3.6966291,1,121.4,0.1,3.7,0.128,"Madrid- Leganés (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Madrid- Leganés - Murcia - Songonera la Seca,0,hs_175,39.2095985,-2.1588255,1,30.3,2.1,1.8,0.17,"Madrid- Leganés (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Madrid- Leganés - Murcia - Songonera la Seca,1,hs_1,37.97918166649245,-1.1542512174932587,3,165.3,4.0,0.2,0.479,"Madrid- Leganés (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Madrid- Leganés - Murcia - Songonera la Seca,1,hs_69,39.944319,-2.8992857,1,119.0,1.1,2.8,0.192,"Madrid- Leganés (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Madrid- Leganés - Tarragona - Constantí,0,hs_178,40.4541157,-3.6814774,1,64.3,0.3,5.1,0.084,"Madrid- Leganés (1 camiones, 100.0%)","Tarragona - Constantí (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_0,37.87222609178602,-1.0917998074781925,8,30.0,0.2,0.3,0.208,"Murcia - Covera (8 camiones, 100.0%)","Murcia - Songonera la Seca (8 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_1,37.97918166649245,-1.1542512174932587,18,52.5,0.3,0.1,0.472,"Murcia - Covera (18 camiones, 100.0%)","Murcia - Songonera la Seca (18 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_102,37.75452933228008,-1.0436462856836357,3,129.9,0.1,0.4,0.184,"Murcia - Covera (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_104,37.73343141239742,-1.0780376865366377,1,212.8,0.2,0.4,0.226,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_107,37.72971684573434,-1.1027568965055925,1,147.4,0.2,0.6,0.161,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_11,37.80561295795971,-0.8391029067357102,1,24.2,0.2,0.6,0.038,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_112,37.795145,-1.1874908,1,141.3,0.4,0.3,0.168,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_116,37.804019,-1.1812487,1,84.5,0.1,0.3,0.091,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_120,37.83511491995073,-0.9539005298029556,1,340.5,0.1,0.6,0.307,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_123,37.836208126839345,-1.1018347656187437,5,84.1,0.1,0.3,0.185,"Murcia - Covera (5 camiones, 100.0%)","Murcia - Songonera la Seca (5 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_128,37.82709941158428,-1.136564050046288,5,71.3,0.0,0.3,0.165,"Murcia - Covera (5 camiones, 100.0%)","Murcia - Songonera la Seca (5 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_129,37.8645951,-1.3978314,1,21.5,0.6,0.3,0.062,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_137,37.77147135294118,-1.072579005882353,7,25.3,0.2,0.3,0.18,"Murcia - Covera (7 camiones, 100.0%)","Murcia - Songonera la Seca (7 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_140,37.976856,-1.1771987,1,19.5,0.4,0.0,0.046,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_148,37.82553187250221,-1.2360097976127322,2,30.8,0.0,0.5,0.054,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_151,37.5637465,-0.9589222,1,188.1,0.5,0.6,0.221,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_159,37.63146336676194,-1.0416499045937115,1,21.4,0.2,0.7,0.035,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_16,38.08564812774411,-1.2283547885679742,3,60.5,0.5,0.3,0.141,"Murcia - Covera (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_17,37.807002712240546,-1.0016995608631607,8,81.5,0.2,0.4,0.26,"Murcia - Covera (8 camiones, 100.0%)","Murcia - Songonera la Seca (8 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_170,38.06827383811818,-1.1992726715157356,1,32.2,0.5,0.2,0.066,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_172,37.8645908,-0.9463446,1,37.0,0.4,0.6,0.064,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_183,37.819275826372724,-1.0284178570787041,5,106.3,0.2,0.4,0.214,"Murcia - Covera (5 camiones, 100.0%)","Murcia - Songonera la Seca (5 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_185,37.7385764,-0.876865,1,93.3,0.2,0.7,0.107,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_187,38.0487571,-1.4522844,2,167.3,0.5,0.4,0.224,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_194,37.790193,-1.1223968,2,12.3,0.6,0.6,0.076,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_195,37.6514827,-0.9168864,1,84.0,0.5,0.7,0.117,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_2,37.99298723164696,-1.183471517368542,3,82.2,0.5,0.1,0.163,"Murcia - Covera (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_20,37.6050074882613,-0.9822946155772079,2,62.9,0.4,0.6,0.113,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_200,37.8533067,-1.0574187,1,49.7,0.2,0.4,0.063,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_208,37.827207,-1.2118268,1,82.8,0.0,0.5,0.083,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_212,37.7749954,-0.8870797,1,417.6,0.5,0.5,0.333,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_215,37.8754436,-0.7612255,1,53.2,0.5,0.7,0.087,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_25,37.754998515486726,-1.1071124053588988,4,137.6,0.1,0.4,0.215,"Murcia - Covera (4 camiones, 100.0%)","Murcia - Songonera la Seca (4 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_28,37.7289038,-1.1158201,1,476.0,0.3,0.5,0.32,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_30,38.22691046070282,-1.3675796639146043,1,60.0,0.7,0.4,0.107,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_31,38.037858218699796,-1.1792183591616465,1,75.6,0.5,0.3,0.109,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,0,hs_34,37.81230689601693,-1.1324921859354042,5,19.3,0.2,0.5,0.127,"Murcia - Covera (5 camiones, 100.0%)","Murcia - Songonera la Seca (5 camiones, 100.0%)"
